Gene_name	FeAnBF	FeAnO	FeAnSF	FeAtO	FeAtSF	FeBrBF	FeBrO	FeBrSF	FeFLO	FeFLSF	FeHLBF	FeHLO	FeHLSF	FeMLO	FeMLSF	FeOsSF	FeOvO	FeOvSF	FePaSF	FeRsBF	FeRsSF	MaAn	MaAT	MaBr	MaFL	MaHL	MaML	MaRs
Gr1	0.677528008	0.627429463	0.66585474	0.137619751	0.06626271	0.097821107	0.090586588	0.161275409	0.045498224	0.09707275	0.061553829	0.41955832	0.049106787	0.033027665	0.054781145	0.077359968	1.269516329	1.171985761	1603.662264	247.1755823	249.8206804	1.227316335	0.004307667	0.245687534	0.184851595	0.050454797	0.070119727	107.7832466
Gr10	0.004823642	0.020136779	0.009525793	0	0.025120975	0.030428791	0.014089206	0.044757131	0.104538801	0.080294024	0.069143009	0.032821803	0.077570692	0.125211808	0.044305541	15.6781326	0	0	0.066825515	8.686425429	7.479119104	0.018246684	0.030484302	0	0.286546825	0.109302953	0.297732353	8.168884274
Gr11	0.661738534	0.63226192	0.585915857	0.339568324	0.210334733	0.661440795	0.428765226	0.469462308	0.557492976	0.448195807	0.84166982	0.614670725	0.602527255	0.645158182	0.577848816	1.208913275	0.240691896	0.345706902	0.451921948	2.180166695	1.386869853	0.220351689	0.067316382	0.29995217	0.722172866	0.573748223	0.698554297	1.31352704
Gr13	0.436720048	0.29459137	0.417197414	0.088934728	0.018491045	0.327569887	0.24112004	0.28944279	0.060020012	0.09850452	0.06107357	0.069690583	0.041110643	0.055299423	0.097836864	12.48636115	1.817174991	0.447771234	0.503066079	3.411603433	5.912020877	0.292122805	0.033658221	0.219393553	0.068778509	0.120683214	0.109577069	4.305834193
Gr14	0.069278166	0.054226652	0.06840563	0.052584167	0.007516514	0.307283256	0.145440634	0.243923986	0.007507038	0.024025046	0.018619645	0.009065287	0.01392606	0.018732445	0	11.04990673	1.565446613	1.584625717	0.087251038	8.345750191	7.647770836	0.114652241	0.023454747	0.15606965	0.055916381	0.003270483	0.063632288	7.694312535
Gr15	5.308938891	5.690908222	4.954008785	0.004370537	0.019991557	0.045404239	0.058864838	0.106854659	0.289512154	0.127797833	0.090790857	0.171788955	0.177787079	0.264059028	0.237996932	6.858736243	0	0.009492353	0.42786101	4.484165729	4.463978441	3.299869307	0.025992583	0.044474559	0.490775814	0.200064425	0.389256432	3.419649045
Gr16	0.110734115	0.105061549	0.07951961	0	0	0.095255419	0.066158037	0.096742141	0.12653743	0.074475679	0	0.015807138	0.003237735	0.087103811	0.034673823	6.185935807	0	0	0.36767164	4.216859389	3.999523393	0.142800004	0	0.038877047	0.104001871	0.011405535	0.118353172	3.590612592
Gr17	0	0.016634773	0.017486955	0	0.009223162	0.268126341	0.201741157	0.070425289	0.023028883	0.009826649	0.007615749	0	0	0.036777185	0	3.078154933	0.049893149	0.087586482	0	2.416771894	2.51404687	0	0	0.17782671	0.013722474	0.008026132	0	1.898126983
Gr18	0.029327781	0.085702453	0.034750064	0	0	0.111004456	0.08566239	0.104961847	0.030508636	0.010848622	0	0.024560803	0	0.015225763	0.01346887	2.041503066	0.018360709	0.367442171	0.04432349	1.688679615	1.946351551	0.033281943	0.010591129	0.166117506	0.015149613	0.004430415	0.01724012	1.796168534
Gr19	1.645853422	1.755690694	1.661071059	2.530497629	1.340426347	0.966937541	0.853453415	0.911761583	1.317145644	0.974531705	1.148014475	1.041975364	1.045145125	1.503675018	0.954730325	7.869877676	0.014994025	0.082123756	1.566091435	6.321513302	5.804747928	1.206759345	0.31655666	1.164190978	2.127939356	1.298152939	2.20194492	3.587041937
Gr2	5.630338631	3.407847535	3.385952365	0.033243197	0	0.184188545	0.206101427	0.274144338	0.13499382	0.081004692	0.090681419	0.145184569	0.100169288	0.113687981	0.044697581	0.767963215	0	0.024066911	1680.101218	326.9180951	288.9524776	0.671896941	0.013180313	0.638977665	0.08798172	0.238919043	0.071515983	74.81979149
Gr20	0.375806317	0.398089895	0.399413676	1.092127497	0.54900949	0.149754274	0.112823566	0.097068332	0.163239657	0.150325997	0.163798015	0.148684577	0.137692877	0.171985915	0.151524774	1.685727157	0.244342597	0.693819635	0.112497999	1.292766829	1.177086187	0.403340851	0.801356168	0.138814887	0.297218665	0.200584329	0.212873411	1.208793967
Gr21	0.139826393	0.101028648	0.138065712	0.044902199	0.009335915	0.042406935	0.007854132	0.039207431	0.041958669	0.069627436	0.053962001	0.053482807	0.051890814	0.027920058	0.012349208	0.087195215	0	0	0.013546292	0.092898058	0.112034552	0.27463682	0.087396085	0.04153864	0.041670694	0.06905601	0.11064865	0.149714211
Gr22	0.203971001	0.172601141	0.221361104	0.054396242	0.009569898	0.043469787	0.032203948	0.043843744	0.109915073	0.061176415	0.102726772	0.09233384	0.049645283	0.109709327	0.025317365	0.429028429	0.09490945	0.263549641	0.083314861	0.071419835	0.131248576	0.385786347	0.029862172	0.141932252	0.156621905	0.14573767	0.048609284	0.044761004
